,Bomi,Bong,Gbarpolu,GrandBassa,GrandCapeMount,GrandGedeh,GrandKru,Guinea,Lofa,Margibi,Maryland,Montserrado,Nimba,RiverGee,Rivercess,SierraLeone,Sinoe
Bomi,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bong,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0
Gbarpolu,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
GrandBassa,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
GrandCapeMount,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GrandGedeh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
GrandKru,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Guinea,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Lofa,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Margibi,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Maryland,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Montserrado,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nimba,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
RiverGee,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Rivercess,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SierraLeone,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Sinoe,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
